Question,Answers,Comment,Instructions,Render as
八百屋,やおや,greengrocer; fruit and vegetable shop,Type the reading!,Image
野菜,やさい,vegetable,Type the reading!,Image
易しい,やさしい,(Usually written using kana alone) easy; plain; simple,Type the reading!,Image
安い,やすい,cheap; inexpensive,Type the reading!,Image
休み,やすみ,rest; recess; respite; vacation; holiday; absence; suspension,Type the reading!,Image
休む,やすむ,to be absent; to take a day off; to rest; to have a break; to go to bed; to (lie down to) sleep; to turn in; to retire,Type the reading!,Image
山,やま,mountain; hill,Type the reading!,Image
夕方,ゆうがた,early evening (usu. from 3pm to 6pm); dusk​,Type the reading!,Image
夕飯,ゆうはん,evening meal; dinner; supper,Type the reading!,Image
郵便局,ゆびんきょく,post office,Type the reading!,Image
夕べ,ゆうべ,evening,Type the reading!,Image
有名,ゆうめい,famous,Type the reading!,Image
雪,ゆき,snow; snowfall,Type the reading!,Image
洋服,ようふく,Western-style clothes (cf. traditional Japanese clothes),Type the reading!,Image
横,よこ,horizontal (as opposed to vertical); lying down,Type the reading!,Image
呼ぶ,よぶ,to call out (to); to call; to invoke,Type the reading!,Image
読む,よむ,to read,Type the reading!,Image
夜,よる,evening; night,Type the reading!,Image
弱い,よわい,weak; frail; delicate; tender; unskilled; weak (wine),Type the reading!,Image
来月,らいげつ,next month,Type the reading!,Image
来週,らいしゅう,next week,Type the reading!,Image
来年,らいねん,next year,Type the reading!,Image
留学生,りゅうがくせい,overseas student; exchange student,Type the reading!,Image
両親,りょうしん,parents; both parents,Type the reading!,Image
料理,りょうり,cooking; cookery; cuisine; food; dish,Type the reading!,Image
旅行,りょこう,travel; trip; journey; excursion; tour,Type the reading!,Image
冷蔵庫,れいぞうこ,refrigerator; fridge,Type the reading!,Image
廊下,ろうか,corridor; hallway; passageway,Type the reading!,Image
若い,わかい,young; youthful,Type the reading!,Image
分かる,わかる,(Usually written using kana alone) to understand; to comprehend; to grasp; to see; to get; to follow,Type the reading!,Image
忘れる,わすれる,to forget; to leave carelessly; to be forgetful of; to forget about; to forget (an article),Type the reading!,Image
私,わたし,I; me​,Type the reading!,Image
渡す,わたす,to ferry across (e.g. a river); to carry across; to traverse,Type the reading!,Image
渡る,わたる,to cross over; to go across,Type the reading!,Image
悪い,わるい,bad; poor; undesirable,Type the reading!,Image
難しい,むずかしい,"difficult; hard; troublesome; complicated; serious (disease, problem, etc.)​",Type the reading!,Image
磨く,みがく,to polish; to shine; to burnish; to scour; to scrub; to brush (teeth); to grind (e.g. a lens),Type the reading!,Image
何曜日,なんようび,what day?; what day of the week?,Type the reading!,Image
日曜日,にちようび,Sunday,Type the reading!,Image
月曜日,げつようび,Monday,Type the reading!,Image
火曜日,かようび,Tuesday,Type the reading!,Image
水曜日,すいようび,Wednesday,Type the reading!,Image
木曜日,もくようび,Thursday,Type the reading!,Image
金曜日,きんようび,Friday,Type the reading!,Image
土曜日,どようび,Saturday,Type the reading!,Image
同曜日,どうようび,same day (of the week),Type the reading!,Image
一日,"いちにち, ついたち","one day (いちにち), 1st day of the month (ついたち)",Type the reading!,Image
二日,ふつか,"two days, 2nd day of the month",Type the reading!,Image
三日,みっか,"three days, 3rd day of the month",Type the reading!,Image
四日,よっか,"four days, 4th day of the month",Type the reading!,Image
五日,いつか,"five days, 5th day of the month",Type the reading!,Image
六日,むいか,"six days, 6th day of the month",Type the reading!,Image
七日,なのか,"seven days, 7th day of the month",Type the reading!,Image
八日,ようか,"eight days, 8th day of the month",Type the reading!,Image
九日,ここのか,"nine days, 9th day of the month",Type the reading!,Image
十日,とおか,"ten days, 10th day of the month",Type the reading!,Image
二十日,はつか,"twenty days, 20th day of the month",Type the reading!,Image
一つ,ひとつ,one,Type the reading!,Image
二つ,ふたつ,two,Type the reading!,Image
三つ,みっつ,three,Type the reading!,Image
四つ,よっつ,four,Type the reading!,Image
五つ,いつつ,five,Type the reading,Image
六つ,むっつ,six,Type the reading!,Image
七つ,ななつ,seven,Type the reading!,Image
八つ,やっつ,eight,Type the reading!,Image
九つ,ここのつ,nine,Type the reading!,Image
一人,ひとり,one person; being alone; being by oneself​,Type the reading!,Image
二人,ふたり,two persons; two people; pair; couple,Type the reading!,Image
一月,"ひとつき, いちがつ",one month (ひとつき); January (いちがつ),Type the reading!,Image
二月,"ふたつき, にがつ",two months (ふたつき); February (にがつ),Type the reading!,Image
三月,"みつき, さんがつ",three months (みつき); March (さんがつ),Type the reading!,Image
四月,"よつき, しがつ",four months (よつき); April (しがつ),Type the reading!,Image
五月,"さつき, ごがつ",five months (さつき); May (ごがつ),Type the reading!,Image
六月,ろくがつ,six months; June,Type the reading!,Image
七月,しちがつ,seven months; July,Type the reading!,Image
八月,はちがつ,eight months; August,Type the reading!,Image
九月,くがつ,nine months; September,Type the reading!,Image
十月,じゅうがつ,ten months; October,Type the reading!,Image
十一月,じゅういちがつ,eleven months; November,Type the reading!,Image
十二月,じゅうにがつ,twelve months; December,Type the reading!,Image
橋,はし,bridge,Type the reading!,Image
一才,いっさい,1 year old,Type the reading!,Image
二歳,にさい,2 years old,Type the reading!,Image
三歳,さんさい,3 years old,Type the reading!,Image
四歳,よんさい,4 years old,Type the reading!,Image
五歳,ごさい,5 years old,Type the reading!,Image
六歳,ろくさい,6 years old,Type the reading!,Image
七歳,ななさい,7 years old,Type the reading!,Image
八歳,はっさい,8 years old,Type the reading!,Image
九歳,きゅうさい,9 years old,Type the reading!,Image
十歳,"じゅうさい, じっさい",10 years old,Type the reading!,Image
